"","plicata","soricina","brachyotis","hirsute","microtis","leporhinus","stramenious","davyii","mesoamericanus","tumida","leucoptera"
"394",0,0,0,0,0,0,0,0,1,0,0
"395",1,0,0,0,0,0,0,0,0,0,0
"396",1,0,0,0,0,0,0,0,0,0,0
"397",0,0,0,0,0,0,1,0,2,0,0
"398",0,0,0,0,0,0,1,0,0,0,0
"399",3,1,0,0,0,0,0,0,0,0,0
"400",1,1,0,0,0,0,0,0,2,0,0
"401",0,0,0,0,0,0,0,1,0,0,0
"402",0,0,0,0,0,0,0,0,2,0,0
"403",11,0,0,0,0,0,0,1,0,0,0
"404",0,0,0,0,0,0,0,0,1,0,0
"405",0,1,0,0,0,0,0,0,0,0,0
"406",0,0,0,0,0,0,0,0,1,0,0
"407",1,0,0,0,0,1,0,0,4,1,1
"408",0,0,0,0,0,0,0,0,2,0,0
"409",0,1,0,0,0,0,0,0,0,0,0
"410",0,0,0,0,0,0,0,0,1,0,0
"411",1,0,0,0,0,0,0,0,0,0,0
"412",1,0,0,0,0,0,0,0,0,0,0
"413",0,0,1,0,0,1,0,0,0,0,0
"414",0,0,0,0,0,0,0,0,14,0,0
"415",0,0,0,0,0,0,0,0,1,0,0
"416",1,0,0,0,0,0,0,0,0,0,0
"417",0,0,0,0,0,0,0,0,1,0,0
"418",2,1,0,0,0,0,0,0,5,0,0
"419",2,0,0,0,0,0,0,1,3,0,0
"420",0,0,1,0,1,0,0,0,1,0,0
"421",1,0,0,0,0,0,0,0,0,0,0
"422",1,0,0,0,0,0,0,0,0,0,0
"423",0,0,0,0,0,0,0,0,1,0,0
"424",0,0,0,0,0,0,0,0,1,0,0
"425",11,2,2,1,1,2,1,0,12,1,1
"426",1,0,0,0,0,0,0,0,0,0,0
"427",1,0,0,0,0,0,0,0,0,0,0
"428",1,0,0,0,0,0,0,0,0,0,0
"429",1,0,0,0,0,0,0,0,0,0,0
"430",0,1,0,0,0,0,0,0,0,0,0
"431",0,0,0,0,0,0,1,0,0,0,0
"432",5,3,0,0,0,0,0,1,3,0,0
"433",0,0,0,0,0,1,0,0,0,0,0
"434",0,0,0,0,0,0,0,0,1,0,0
"435",2,0,0,0,0,0,1,0,2,0,0
"436",0,0,0,0,0,0,0,1,0,0,0
"437",0,0,0,0,0,0,0,0,3,0,0
"438",8,1,0,0,0,0,0,0,0,0,0
"439",6,1,1,0,0,1,0,1,6,1,0
"440",1,0,0,0,0,0,0,0,0,0,0
"441",1,0,0,0,0,0,0,0,0,0,0
"442",1,0,0,0,0,0,0,0,0,0,0
"443",2,0,0,0,0,0,0,0,0,0,0
"444",0,0,0,0,0,0,1,0,3,0,0
"445",5,0,0,0,0,0,0,0,0,0,0
"446",0,1,0,0,0,0,0,0,0,0,0
"447",1,0,0,0,0,0,0,0,0,0,0
"448",0,1,0,0,0,0,0,0,0,0,0
"449",0,0,0,0,0,0,0,0,1,0,0
"450",6,0,0,0,0,0,0,0,0,0,0
"451",0,0,0,0,0,0,0,0,2,0,0
"452",8,3,0,0,0,0,1,0,1,0,0
"453",0,0,0,0,0,0,0,0,1,0,0
"454",1,0,0,0,0,0,0,0,1,0,0
"455",0,0,0,0,0,1,0,0,0,0,0
"456",0,2,0,0,0,0,0,0,3,0,0
"457",1,0,0,0,0,0,0,0,1,0,0
"458",5,0,0,0,0,0,0,1,0,0,0
"459",1,0,0,0,0,0,0,0,0,0,0
"460",2,0,0,0,0,0,0,0,0,0,0
"461",0,0,0,0,0,0,0,0,1,0,0
"462",0,2,0,0,1,0,1,1,15,0,0
"463",1,1,0,0,0,0,0,0,0,0,0
"464",0,0,0,0,0,0,0,0,1,0,0
"465",0,0,0,0,0,0,0,0,5,0,0
"466",1,0,0,0,0,0,0,0,2,0,0
"467",0,0,0,0,0,0,0,0,1,0,0
"468",2,0,1,0,0,0,0,0,1,0,0
"469",0,0,0,0,0,0,0,0,1,0,0
"470",0,0,0,0,0,0,1,0,0,0,0
"471",1,0,0,0,0,0,0,0,0,0,0
"472",0,0,0,0,0,0,0,0,1,0,0
"473",2,0,0,0,0,0,0,0,0,0,0
"474",0,3,0,0,0,0,0,0,0,0,0
"475",1,0,0,0,0,0,0,0,0,0,0
"476",4,0,0,0,0,0,0,0,0,0,0
"477",1,0,0,0,0,0,0,0,0,0,0
"478",2,1,0,0,0,1,1,0,1,1,0
"479",25,8,0,0,0,0,1,1,13,1,1
"480",0,1,0,0,0,0,0,0,0,0,0
"481",0,0,0,0,0,0,0,0,1,0,0
"482",0,0,0,0,0,0,0,0,5,0,0
"483",0,0,0,0,0,0,0,0,1,0,0
"484",3,0,0,0,0,0,0,0,0,0,0
"485",0,0,0,0,0,0,0,0,1,0,0
"486",3,0,0,0,0,0,0,0,0,0,0
"487",0,0,0,0,0,0,0,0,1,0,0
"488",0,1,0,0,0,0,0,0,0,0,0
"489",0,0,0,0,0,0,0,0,2,0,0
"490",1,0,0,0,0,0,0,0,0,0,0
"491",3,0,0,0,0,0,0,0,0,0,0
"492",0,0,0,0,0,0,0,0,1,0,0
"493",5,2,1,0,0,1,0,1,7,1,0
"494",0,0,0,0,0,0,1,0,0,0,0
"495",0,0,0,0,1,0,0,0,0,0,0
"496",1,2,0,0,0,1,1,0,0,0,0
"497",1,0,0,0,0,0,0,0,0,0,0
"498",1,0,0,0,0,0,0,0,0,0,0
"499",3,0,0,0,0,0,0,0,1,0,0
"500",0,0,0,0,0,0,0,0,1,0,0
"501",1,0,0,0,0,0,0,0,0,0,0
"502",2,0,0,0,0,0,0,0,1,0,0
"503",3,0,0,0,0,0,0,0,0,0,0
"504",0,1,0,0,0,0,0,0,0,0,0
"505",0,0,0,0,0,0,0,0,4,0,0
"506",0,0,0,0,0,0,0,0,1,0,0
"507",1,0,0,0,0,0,0,0,0,0,0
"508",2,0,0,0,0,0,0,0,3,0,0
"509",4,0,0,0,0,0,0,0,0,0,0
"510",0,0,0,1,0,0,0,0,1,0,0
"511",0,0,1,0,0,0,0,0,0,0,0
"512",0,0,0,0,0,0,0,0,3,0,0
"513",0,1,0,0,0,0,0,0,0,0,0
"514",1,2,0,0,0,0,0,0,0,0,0
"515",0,0,0,0,1,0,0,0,0,0,0
"516",0,0,0,1,0,0,0,0,0,0,0
"517",4,1,1,0,0,0,0,1,5,0,0
"518",1,1,0,0,0,0,0,0,0,0,0
"519",0,0,0,0,0,0,0,0,1,0,0
"520",2,0,0,0,0,0,0,0,0,0,0
"521",0,0,0,0,0,0,0,0,1,0,0
"522",0,1,0,0,0,0,0,0,6,0,0
"523",0,0,1,0,0,0,0,0,0,0,0
"524",5,1,0,0,0,0,0,0,0,0,0
"525",0,1,0,0,0,0,0,0,1,0,0
"526",1,0,0,0,0,0,0,0,0,0,0
"527",0,1,0,0,0,0,0,0,0,0,0
"528",0,0,0,0,0,0,0,0,1,0,0
"529",1,0,0,0,0,0,0,0,0,0,0
"530",0,0,0,0,0,0,0,1,8,0,0
"531",0,0,0,0,0,0,0,0,1,0,0
"532",1,0,0,0,0,0,0,0,0,0,0
"533",0,0,0,0,0,0,0,0,1,0,0
"534",0,0,0,0,0,0,0,0,1,0,0
"535",0,1,0,0,0,0,0,0,0,0,0
"536",3,1,0,0,0,1,0,0,0,0,0
"537",3,0,0,0,0,0,0,0,0,0,0
"538",5,0,0,0,1,0,0,0,3,0,0
"539",0,0,0,1,0,0,0,0,0,0,0
"540",0,0,0,0,1,0,0,0,0,0,0
"541",0,0,1,0,0,0,0,0,0,0,0
"542",6,0,0,0,0,0,0,0,0,0,0
"543",1,0,0,0,0,0,0,0,0,0,0
"544",0,0,0,0,0,0,0,0,1,0,0
"545",0,0,0,0,0,0,0,0,1,0,0
"546",0,0,0,0,0,0,0,0,1,0,0
"547",0,1,0,0,0,0,0,0,0,0,0
"548",0,0,0,0,0,0,1,0,0,0,0
